Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.601644962644725,-2.66077667204785,1.07406060308773,0,0,0,4121.17205882354,8967.73927007271,-240.759163721415,-31.7872032082176,9153.72803115491,49.2508163326323,10319.4515591888,0,0,0,0,0,0,package://washroom_cleaner/meshes/base_link_washroom.STL,1,1,1,1,0,0,0,0,0,0,package://washroom_cleaner/meshes/base_link_washroom.STL,,Part1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link_1,0.139786452389953,1.94198166828418,1.00019471183636,0,0,0,31.7768042614532,0.824250395837601,-0.00234138477343735,0.00058303509795974,0.617206027497101,-0.0019773474216285,1.17494027287568,0,0,0,0,0,0,package://washroom_cleaner/meshes/link_1_washroom.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://washroom_cleaner/meshes/link_1_washroom.STL,,toilet seat-1;Dust bin-1;basin-3;1-1;Bottle-1;towel-bar-circle-with-towels-1;window-2/MP (001) Janela 80x100 2020-1/PP (003)-Janela 80x1000 -2020-1;window-1/MP (001) Janela 80x100 2020-1/PP (001)-Janela 80x1000 -2020-2;Dust bin-2,Origin_joint_1,Axis_joint_1,joint_1,fixed,-0.23311,-1.3069,-0.068158,0,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
